584                     N5
2005 4.12376 -1.43325
2110 -0.283179 -2.37937
2112 7.95876 -3.47867
2064 -6.49582 -3.57327
2087 -0.134285 -4.80775
2123 -2.73627 -4.77009
2119 5.28627 -5.10171
-99
567
2103 -3.9695 6.77429
2010 0.660603 6.16672
2088 7.85449 5.31099
2064 -6.83265 5.21983
2120 5.44908 3.66316
2108 -2.81829 3.2123
2082 2.81829 2.23964
2123 -6.30481 1.07731
2021 -9.16049 0.169159
2116 0.603165 -0.0925671
2110 -3.38651 -0.588658
2029 5.76522 -1.09116
2087 -5.68349 -1.44083
2102 2.84942 -2.5435
2005 -1.15083 -4.81995
2085 10.4118 -5.79635
2095 4.42202 -6.43264
2119 -4.51759 -7.0253
-99
